payment_source_name,ldh_payment_category,dp_2024,dp_2025,cs_2024,cs_2025,upl_2024,upl_2025,dsh_2024,dsh_2025,ccn,discharges_2024,days_2024,adc_2024
Savoy Medical Center,Other Rural,,10663473.993055424,8948.0,15926.0,,,,,190025,1369.0,9312.0,25.512328767123286
Springhill Medical Center,Small Rural,,2760595.7446310804,5309.2,,,,,,190088,601.0,3054.0,8.367123287671232
St Bernard Parish Hospital,Small Rural,,8508922.259029634,15325.0,11626.0,,,,,190308,1375.0,3775.0,10.342465753424657
St Charles Hospital - Luling,Small Rural,,10587083.990859585,,5000.0,,,,,190079,1986.0,10912.0,29.895890410958906
St Helena Parish Hospital,Critical Access Hospital (CAH),,1491887.8931451412,4779.0,,,,,,191300,12.0,50.0,0.136986301369863
St James Parish Hospital,Critical Access Hospital (CAH),,3644474.5041436017,17441.3,52410.0,,,,,191305,184.0,534.0,1.463013698630137
Trinity Medical (formerly: Riverland Medical Center),Critical Access Hospital (CAH),,3735663.3709532996,765.0,140.0,,,,,191318,537.0,1865.0,5.109589041095891
Union General Hospital,Critical Access Hospital (CAH),,2678538.9288384444,4948.0,6253.0,,,,,191301,194.0,658.0,1.8027397260273972
West Carroll Memorial Hospital,Critical Access Hospital (CAH),,2601903.0931081325,146.9,,4510280.0,4533402.0,,,191327,447.0,1357.0,3.717808219178082
West Feliciana Parish Hospital,Critical Access Hospital (CAH),,3902178.310355862,15192.599999999999,8357.0,,,,,191306,10.0,19.0,0.052054794520547946
Winn Parish Medical Center,Small Rural,,1703641.246464535,7460.0,,,,,,190090,404.0,1511.0,4.13972602739726
Glenwood Regional Medical Center,,,8972357.0,,,,,,,190160,,,
