ccn,hospital,city,parish,medicaid_prov,medicaid_class,medicare_class,ownership,beds_hcris,fte_employees,lihnc_member,lihnc_joined,in_epic_pipeline,epic_wave,epic_status,epic_est_pricing_m,epic_amb_vol,epic_ip_vol,epic_providers,ehr,forhp_rural,ldh_region,current_ratio_fy2021,current_ratio_fy2022,current_ratio_fy2023,days_cash_fy2021,days_cash_fy2022,days_cash_fy2023,equity_ratio_fy2021,equity_ratio_fy2022,equity_ratio_fy2023,npr_fy2021,npr_fy2022,npr_fy2023,pt_svc_margin_fy2021,pt_svc_margin_fy2022,pt_svc_margin_fy2023,total_margin_fy2021,total_margin_fy2022,total_margin_fy2023,control,stratum,fy_days,zip,medicaid_revenue,medicaid_charges,uncomp_care_cost,cost_to_charge,medicaid_days_share,medicare_days_share,contract_labor,total_salaries,zip_population,zip_classification,ruca_category,broadband_desert_pct,poverty_pct,food_access_pct,no_vehicle_pct,specialty_facilities_zip,acute_facilities_zip,diabetes_prevalence,mco_2024_01,mco_2024_12,mco_2025_12,mco_2026_05,mco_pct_change_24_26,medicaid_pct_npr,medicaid_rev_at_risk,cost_settled,margin_gap_fy2023,days_cash_change_21_23,epic_cost_pct_npr,epic_cost_per_provider,contract_labor_pct_salary,ldh_payment_category,dp_2024,dp_2025,cs_2024,cs_2025,upl_2024,upl_2025,dsh_2024,dsh_2025,discharges_2024,days_2024,adc_2024,rhc_settlement_2025,rhc_clinics_settled,ldh_payments_2025,ldh_payments_2024,ldh_pay_pct_npr,dp_pct_npr,dp_per_adc
191311,Bunkie General Medical Center,BUNKIE,AVOYELLES,1735167.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,24.0,118.11,Yes,Aug 2021,Yes,Wave 1,LOI signed,0.2,24272.0,2372.0,4.0,CPSI,Yes,6.0,4.99,5.05,4.48,158.1,68.7,40.2,0.8429,0.9036,0.9237,15622586.0,17843327.0,20173950.0,-0.141,-0.0169,0.0131,0.1151,0.2034,0.1779,Gov-Hospital District,Government,365,71322,2684969.0,7803561.0,696838.0,0.500882,0.0038595137012736,0.6275569278270938,,,5257,Rural,10,3.9900000000000007,24.4,12,3.640365301424271,2,1,9.7,16887,15464,14512,13407,-0.2061,0.1331,553372.0,True,0.1648,-117.9,0.0099,50000.0,,Critical Access Hospital (CAH),0.0,2308342.794855477,4047.0,0.0,0.0,0.0,0.0,0.0,30.0,95.0,0.2602739726027397,0.0,,2308342.794855477,4047.0,0.1144,0.1144,8868896.0
190164,Byrd Regional Hospital,Leesville,VERNON,1745618.0,Small Rural,IPPS,,39.0,359.97,No,,No,,,,,,,,,,,,,-9.2,-2.6,20.9,0.6959,1.0053,0.7079,55391072.0,61085793.0,69705908.0,0.1207,0.0254,0.0764,0.1874,0.0507,0.1215,Proprietary-Corp,Proprietary,365,71446,14031207.0,180751220.0,332510.0,0.122792,0.0050438596491228,0.3353070175438596,,26234844.0,22047,Rural,8,29.49,15.3,22,2.9410550648064064,5,2,10.9,13503,12087,11000,9748,-0.2781,0.2013,3902079.0,True,0.0451,30.1,,,,Small Rural,0.0,8072210.032233211,0.0,170.0,0.0,0.0,0.0,0.0,1666.0,7307.0,20.019178082191782,0.0,,8072380.032233211,0.0,0.1158,0.1158,403224.0
190190,"Caldwell Memorial Hospital, Inc",Columbia,CALDWELL,1740641.0,Small Rural,IPPS,,26.0,63.14,No,,Yes,Wave 2,Meeting pending,0.6,8451.0,2894.0,15.0,,,,1.57,1.32,0.76,52.4,78.0,44.1,0.6117,0.4741,0.085,13768284.0,12487836.0,12913710.0,0.0043,-0.0349,-0.0341,0.1876,0.0873,-0.025,Proprietary-Corp,Proprietary,364,71418,5374338.0,8846352.0,409775.0,0.483952,0.02672147995889,0.4635149023638232,342252.0,7550838.0,5351,Rural,10,32.75,19.5,4,3.3236694967902256,0,3,7.7,4409,3988,3651,3301,-0.2513,0.4162,1350571.0,True,0.0091,-8.3,0.0465,40000.0,0.0453,Small Rural,0.0,2264818.787275378,0.0,95.0,0.0,0.0,0.0,0.0,374.0,4082.0,11.183561643835615,0.0,,2264913.787275378,0.0,0.1754,0.1754,202513.0
191312,Christus Coushatta Health Care Center,COUSHATTA,RED RIVER,1766283.0,Critical Access Hospital (CAH),CAH,Voluntary non-profit - Private,25.0,110.52,No,,No,,,,,,,,,,3.36,2.96,3.55,4.9,6.4,7.2,0.8991,0.8951,0.9256,24770365.0,27304454.0,28649966.0,0.0896,0.1177,0.1198,0.1024,0.122,0.1227,Nonprofit-Church,Nonprofit,365,71019,5897008.0,19173862.0,461533.0,0.343992,0.0057529610829103,0.6135363790186126,,,7366,Rural,10,66.56,23.9,4,1.8608308216485387,1,1,7.7,3683,3281,3028,2731,-0.2585,0.2058,1524377.0,True,0.0029,2.3,,,,Critical Access Hospital (CAH),0.0,3791431.143353812,0.0,23258.0,0.0,0.0,0.0,0.0,500.0,2089.0,5.723287671232876,60.0,1.0,3814689.143353812,0.0,0.1331,0.1323,662457.0
190184,Citizens Medical Center,Columbia,CALDWELL,1740764.0,Small Rural,IPPS,,40.0,114.17,Yes,Nov 2021,Yes,Wave 2,Interested,2.0,11263.0,4834.0,32.0,CPSI,Yes,8.0,7.83,9.24,4.88,278.0,236.6,216.3,0.8993,0.9461,0.7131,12210682.0,12471192.0,11824617.0,-0.3728,-0.4994,-0.6524,0.0475,0.0639,-0.0485,Gov-Hospital District,Government,365,71418,5082796.0,9757535.0,395396.0,0.540405,0.0006644518272425,0.5362126245847176,,9270827.0,5351,Rural,10,32.75,19.5,4,3.3236694967902256,0,3,7.7,4409,3988,3651,3301,-0.2513,0.4298,1277307.0,True,0.6039,-61.7,0.1691,62500.0,,Small Rural,0.0,2689699.7357544736,2158.0,334.0,0.0,0.0,0.0,0.0,371.0,1505.0,4.123287671232877,0.0,,2690033.7357544736,2158.0,0.2275,0.2275,652319.0
190114,Claiborne Memorial Medical Ctr.,Homer,CLAIBORNE,1734403.0,Small Rural,IPPS,,37.0,205.89,No,,Yes,Wave 3+,Tentative,1.1,18452.0,7972.0,18.0,,,,1.55,2.39,2.71,107.4,65.4,40.7,0.5171,0.7476,0.771,22538070.0,24177158.0,28284284.0,-1.3418,-0.354,-0.1685,0.1032,-0.0654,-0.0034,Gov-City,Government,365,71040,7506994.0,16804106.0,487799.0,0.426795,0.1503442149677992,0.5032200755052187,650790.0,18554096.0,7705,Rural,10,46.19,32.5,12,4.527212560726607,0,1,10.8,5076,4576,4207,3809,-0.2496,0.2654,1873746.0,True,0.1651,-66.7,0.0389,61111.0,0.0351,Small Rural,0.0,4227952.363223594,709.0,0.0,0.0,0.0,0.0,0.0,886.0,3987.0,10.923287671232876,0.0,,4227952.363223594,709.0,0.1495,0.1495,387059.0
191307,Dequincy Memorial Hospital,DEQUINCY,CALCASIEU,1741795.0,Critical Access Hospital (CAH),CAH,Proprietary,19.0,116.0,No,,No,,,,,,,,,,2.18,5.86,1.63,-32.2,23.4,-1.9,-6.1872,0.1646,-0.6516,10701040.0,13093199.0,11067639.0,-0.2538,-0.0408,-0.3384,-0.0616,0.0846,-0.0916,Proprietary-Individual,Proprietary,364,70633,,,508426.0,0.731927,0.0257839721254355,0.6571428571428571,,6665044.0,8178,Rural,2,4.53,18.9,13,2.261707074061773,0,2,10.5,67323,61240,56764,51801,-0.2306,,,True,0.2468,30.3,,,,Critical Access Hospital (CAH),0.0,1381146.6280382532,0.0,0.0,0.0,0.0,0.0,0.0,233.0,2242.0,6.142465753424657,0.0,,1381146.6280382532,0.0,0.1248,0.1248,224852.0
190118,Desoto Regional Health System,Mansfield,DESOTO,1743283.0,Sole Community Hospital (SCH)/Small Rural,SCH,,34.0,159.13,No,,Yes,Wave 3+,Unsure,4.6,45000.0,1376.0,75.0,,,,8.78,6.05,6.07,182.8,185.8,110.7,0.8927,0.8686,0.9014,21858426.0,26172571.0,30764343.0,-0.1561,-0.0951,-0.0026,0.0985,0.0554,0.1286,Nonprofit-Other,Nonprofit,364,71052,8717166.0,28420115.0,1081439.0,0.352007,0.0040816326530612,0.4312925170068027,627644.0,12999678.0,8827,Rural,7,19.59,18.0,9,3.474889079452668,0,1,9.9,9851,8973,8051,7289,-0.2601,0.2834,2267335.0,True,0.1312,-72.1,0.1495,61333.0,0.0483,Sole Community Hopsital (SCH)/Small Rural,0.0,3740523.4283565767,18595.0,16411.0,0.0,0.0,0.0,0.0,372.0,1686.0,4.619178082191781,0.0,,3756934.4283565767,18595.0,0.1221,0.1216,809781.0
190208,East Carroll Parish Hospital,Lake Providence,EAST CARROLL,1746550.0,Small Rural,IPPS,,23.0,71.35,No,,No,,,,,,,,,,8.49,20.24,21.97,351.8,417.8,413.9,0.9122,0.9612,0.9714,12994654.0,14584502.0,14288148.0,-0.0147,0.0505,-0.0756,0.1645,0.1357,0.1078,Gov-County,Government,365,71254,9015620.0,8480765.0,354463.0,0.603519,0.1396332863187588,0.5190409026798307,161556.0,6636414.0,6500,Rural,10,31.89,38.4,22,3.920770587437254,0,1,8.8,3490,3181,2870,2624,-0.2481,0.631,2236775.0,True,0.1834,62.1,,,0.0243,Small Rural,0.0,2345910.80244884,0.0,0.0,0.0,0.0,0.0,0.0,187.0,709.0,1.9424657534246568,1728.0,1.0,2345910.80244884,0.0,0.1642,0.1642,1207697.0
190140,Franklin Medical Center,Winnsboro,FRANKLIN,1734888.0,Small Rural,IPPS,,31.0,189.82,Yes,Dec 2021,Yes,Wave 1,LOI signed,3.5,61070.0,2883.0,57.0,Cerner,Yes,8.0,1.92,3.48,2.86,172.4,180.5,146.9,0.6405,0.8143,0.7976,36915164.0,41179396.0,42639550.0,-0.1215,-0.1012,-0.1831,0.1321,0.1735,0.0575,Gov-Hospital District,Government,365,71295,12860229.0,30075116.0,956025.0,0.412699,0.017008504252126,0.5377688844422212,,18147917.0,14008,Rural,7,53.510000000000005,25.8,13,1.9390441474281088,0,1,7.8,9750,8918,8105,7278,-0.2535,0.3016,3260068.0,True,0.2406,-25.5,0.0821,61404.0,,Small Rural,0.0,5764458.78424624,15086.0,7583.0,0.0,0.0,0.0,0.0,619.0,2897.0,7.936986301369863,8717.0,1.0,5772041.78424624,15086.0,0.1354,0.1352,726278.0
190160,Glenwood Regional Medical Center,WEST MONROE,OUACHITA,,,,,212.0,552.52,Yes,June 2021,No,,,,,,,,No,8.0,0.94,1.35,0.83,1.0,-0.0,0.0,0.7072,0.5618,0.5811,177822788.0,184532055.0,150921564.0,-0.0736,-0.0594,-0.1051,-0.0397,-0.0158,-0.0861,Proprietary-Corp,Proprietary,365,71291,13235506.0,172624139.0,2409596.0,0.154967,0.0097762664708837,0.3309246879709417,2610250.0,47084481.0,35345,Urban,1,2.14,23.9,15,3.2847698718551244,1,1,9.3,64597,58794,53935,48556,-0.2483,0.0877,3286376.0,False,0.019,-1.0,,,0.0554,,0.0,8972357.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,8972357.0,0.0,0.0595,0.0595,
191315,Hardtner Medical Center,OLLA,LASALLE,1730114.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,185.38,No,,No,,,,,,,,,,2.33,3.41,5.21,65.8,17.1,18.1,0.6644,0.7068,0.6706,37776679.0,31649093.0,35889613.0,-0.0931,-0.3514,-0.3256,0.1111,0.0478,-0.0787,Gov-Hospital District,Government,364,71465,11485766.0,19616786.0,1980629.0,0.49357,0.1608884073672806,0.4436619718309859,,,3446,Rural,10,43.25,16.9,12,1.4968843131942562,0,1,7.6,5023,4510,4111,3709,-0.2616,0.32,3004676.0,True,0.2469,-47.7,,,,Critical Access Hospital (CAH),0.0,4345498.738827794,34561.6,0.0,0.0,0.0,0.0,0.0,407.0,2210.0,6.054794520547945,0.0,,4345498.738827794,34561.6,0.1211,0.1211,717695.0
