ccn,hospital,city,parish,medicaid_prov,medicaid_class,medicare_class,ownership,beds_hcris,fte_employees,lihnc_member,lihnc_joined,in_epic_pipeline,epic_wave,epic_status,epic_est_pricing_m,epic_amb_vol,epic_ip_vol,epic_providers,ehr,forhp_rural,ldh_region,current_ratio_fy2021,current_ratio_fy2022,current_ratio_fy2023,days_cash_fy2021,days_cash_fy2022,days_cash_fy2023,equity_ratio_fy2021,equity_ratio_fy2022,equity_ratio_fy2023,npr_fy2021,npr_fy2022,npr_fy2023,pt_svc_margin_fy2021,pt_svc_margin_fy2022,pt_svc_margin_fy2023,total_margin_fy2021,total_margin_fy2022,total_margin_fy2023,control,stratum,fy_days,zip,medicaid_revenue,medicaid_charges,uncomp_care_cost,cost_to_charge,medicaid_days_share,medicare_days_share,contract_labor,total_salaries,zip_population,zip_classification,ruca_category,broadband_desert_pct,poverty_pct,food_access_pct,no_vehicle_pct,specialty_facilities_zip,acute_facilities_zip,diabetes_prevalence,mco_2024_01,mco_2024_12,mco_2025_12,mco_2026_05,mco_pct_change_24_26,medicaid_pct_npr,medicaid_rev_at_risk,cost_settled,margin_gap_fy2023,days_cash_change_21_23,epic_cost_pct_npr,epic_cost_per_provider,contract_labor_pct_salary,ldh_payment_category,dp_2024,dp_2025,cs_2024,cs_2025,upl_2024,upl_2025,dsh_2024,dsh_2025,discharges_2024,days_2024,adc_2024,rhc_settlement_2025,rhc_clinics_settled,ldh_payments_2025,ldh_payments_2024,ldh_pay_pct_npr,dp_pct_npr,dp_per_adc
191309,Hood Memorial Hospital,AMITE,TANGIPAHOA,1735116.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,123.29,Yes,Feb 2023,Yes,Wave 2,Highly Interested,2.0,17240.0,5162.0,32.0,CPSI,No,9.0,3.45,13.85,8.04,225.3,338.6,250.8,0.7659,0.9361,0.9358,18669790.0,17482312.0,23039082.0,-0.0428,-0.1539,0.0567,0.3172,0.4426,0.1213,Gov-Hospital District,Government,364,70422,3220918.0,9639096.0,561177.0,0.603568,,0.434654919236417,,,13670,Rural,10,9.05,21.7,17,2.138063350578188,0,1,10.8,57200,52451,48793,44570,-0.2208,0.1398,711179.0,True,0.0646,25.5,0.0868,62500.0,,Critical Access Hospital (CAH),0.0,2957025.289694987,1475.0,1247.0,0.0,0.0,0.0,0.0,26.0,98.0,0.2684931506849315,0.0,,2958272.289694987,1475.0,0.1284,0.1283,11013411.0
190054,Iberia Medical Center,New Iberia,IBERIA,,,IPPS,,133.0,617.28,Yes,Aug 2021,Yes,Wave 1,LOI signed,1.3,57061.0,19189.0,21.0,CPSI,Yes,4.0,3.46,2.75,2.95,135.2,90.4,72.6,0.5548,0.6405,0.6198,104882525.0,106960667.0,106319014.0,0.0251,0.013,-0.1475,0.0747,0.05,0.0299,Gov-Hospital District,Government,364,70560,16625237.0,131876738.0,2138618.0,0.213314,0.0133042651908994,0.327072502655263,13820126.0,45105572.0,37589,Rural,4,0.03,21.9,6,4.419794733983247,1,0,11.2,30432,27903,25781,23700,-0.2212,0.1564,3677502.0,False,0.1774,-62.6,0.0122,61905.0,0.3064,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
191317,Jackson Parish Hospital,JONESBORO,JACKSON,1731072.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,134.17,No,,Yes,Wave 3+,Tentative,1.6,24620.0,2155.0,27.0,,,,7.69,9.43,13.35,217.0,256.2,350.6,0.9065,0.918,0.9387,18517640.0,20783910.0,23444186.0,-0.2766,-0.2359,-0.155,0.2478,0.1574,0.1961,Gov-Hospital District,Government,364,71251,4060548.0,8102451.0,1211740.0,0.705465,0.0013233348037053,0.501985002205558,,,7724,Rural,10,30.36,19.2,11,3.856092228185251,0,1,7.7,4842,4295,3979,3518,-0.2734,0.1732,1110154.0,True,0.3511,133.6,0.0682,59259.0,,Critical Access Hospital (CAH),0.0,3298988.728665368,756.0,2660.0,0.0,0.0,0.0,0.0,269.0,1066.0,2.92054794520548,296.0,1.0,3301648.728665368,756.0,0.1408,0.1407,1129579.0
191325,Lady of the Sea General Hospital,CUT OFF,LAFOURCHE,1720089.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,10.0,131.75,No,,Yes,Wave 2,Meeting pending,2.3,12955.0,3151.0,12.0,,,,2.78,2.03,2.18,398.8,342.6,313.2,0.6989,0.5906,0.6487,15848102.0,17589772.0,20770402.0,-1.1415,-0.8518,-0.8604,0.1363,0.2077,0.2722,Gov-City-County,Government,365,70345,4556083.0,9390907.0,730872.0,0.65926,,0.3043478260869565,,,8678,Rural,4,0.56,17.5,8,3.0065830076116025,0,2,11.2,28441,25582,23856,21824,-0.2327,0.2194,1060201.0,True,1.1326,-85.6,0.1107,191667.0,,Critical Access Hospital (CAH),0.0,2101785.6400866634,5919.7,6345.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0301369863013698,3562.0,1.0,2108130.6400866634,5919.7,0.1015,0.1012,69741069.0
191321,Lallie Kemp Medical Center,INDEPENDENCE,TANGIPAHOA,,Critical Access Hospital (CAH),CAH,Government - State,24.0,391.0,No,,No,,,,,,,,,,3.07,2.3,,-30.3,-12.6,0.0,0.8026,0.7978,,31944329.0,28742771.0,,-0.5929,-0.7537,,-0.5929,-0.7537,,Gov-State,Government,365,70443,10466715.0,26560251.0,3467383.0,0.72586,0.0295260295260295,0.08003108003108,,,8359,Urban,2,9.05,21.7,17,2.138063350578188,0,1,10.8,57200,52451,48793,44570,-0.2208,,2311051.0,True,,30.3,,,,Critical Access Hospital (CAH),0.0,0.0,0.0,0.0,0.0,0.0,8608084.0,8833704.0,354.0,1287.0,3.526027397260274,0.0,,8833704.0,8608084.0,,,0.0
190020,Lane Regional Medical Center,ZACHARY,EAST BATON ROUGE,,,,,109.0,134.71,Yes,2020-02-01 00:00:00,No,,,,,,,EPIC-FMOL,No,2.0,3.42,1.9,0.99,136.2,69.1,89.8,0.7212,0.6933,0.5012,77010489.0,76511738.0,75403257.0,-0.2586,-0.4302,-0.4946,-0.0145,-0.0206,-0.0495,Gov-Hospital District,Government,365,70791,8076903.0,67812561.0,2387057.0,0.254334,0.019076923076923,0.1975384615384615,,46164664.0,30097,Urban,2,1.84,17.7,12,2.952666225028556,2,1,10.9,146729,132666,122415,111113,-0.2427,0.1071,1960264.0,False,0.4451,-46.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
190145,Lasalle General Hospital,Jena,LASALLE,1734977.0,Small Rural,IPPS,,30.0,175.53,No,,No,,,,,,,,,,2.35,1.67,1.29,75.3,18.3,10.8,0.2987,0.398,0.2652,19941316.0,19769375.0,21094834.0,-0.2714,-0.3445,-0.3653,0.2229,-0.0342,-0.0588,Gov-Hospital District,Government,364,71342,4925558.0,10207053.0,490940.0,0.453347,0.0684334116068433,0.5135860449513586,132000.0,11053336.0,7389,Rural,10,43.25,16.9,12,1.4968843131942562,0,1,7.6,5023,4510,4111,3709,-0.2616,0.2335,1288526.0,True,0.3065,-64.5,,,0.0119,Small Rural,0.0,2934530.975218392,39550.0,0.0,0.0,0.0,0.0,0.0,658.0,6169.0,16.9013698630137,0.0,,2934530.975218392,39550.0,0.1391,0.1391,173627.0
191314,Madison Parish Hospital,TALLULAH,MADISON,1720119.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,19.0,139.74,No,,No,,,,,,,,,,1.98,1.82,10.26,282.3,259.9,131.2,0.5234,0.4627,0.4345,16126566.0,14792803.0,15006327.0,-0.2498,-0.4697,-0.6557,0.1825,0.1256,-0.1458,Gov-Hospital District,Government,364,71282,232818.0,234666.0,790909.0,0.913808,0.0108359133126934,0.4024767801857585,,,8998,Rural,7,25.9,41.1,3,4.108496210610292,0,1,8.8,5411,4944,4380,3856,-0.2874,0.0155,66912.0,True,0.5099,-151.1,,,,Critical Access Hospital (CAH),0.0,3163394.0810337514,0.0,1074.0,0.0,0.0,0.0,0.0,82.0,309.0,0.8465753424657534,632.0,1.0,3164468.0810337514,0.0,0.2109,0.2108,3736695.0
190167,Mercy Regional Medical Center,Ville Platte,EVANGELINE,,Other Rural,IPPS,,27.0,285.0,No,,No,,,,,,,,,,,,1.1,44.4,-180.2,11.1,-0.1237,-0.5296,-0.4501,32137485.0,28300414.0,32403365.0,-0.0695,-0.3146,-0.3045,-0.0299,-0.1186,-0.0404,Proprietary-Corp,Proprietary,364,70586,3760047.0,72931829.0,377892.0,0.194996,0.0357825730674679,0.6479104069926249,,18934997.0,18939,Rural,7,15.7,28.6,6,4.175042523581259,0,1,9.0,14251,12991,12043,10858,-0.2381,0.116,895267.0,False,0.2641,-33.3,,,,Other Rural,0.0,3570706.064853985,0.0,538.0,0.0,0.0,0.0,0.0,1283.0,8436.0,23.112328767123287,0.0,,3571244.064853985,0.0,0.1102,0.1102,154494.0
190144,Minden Medical Center,Minden,WEBSTER,,Other Rural,RRC,,129.0,371.0,No,,No,,,,,,,,,,12.04,1.39,1.85,239.0,-138.4,-159.4,,,,49906352.0,53320561.0,58512397.0,-0.0751,-0.0305,-0.0576,-0.0231,-0.0211,-0.0474,Proprietary-Corp,Proprietary,365,71055,6502554.0,125868399.0,693644.0,0.155912,0.308581591818586,0.3008744627241737,,24168410.0,17406,Rural,4,14.72,29.600000000000005,19,3.506433448491608,0,1,10.0,15060,13552,12298,11252,-0.2529,0.1111,1644496.0,False,0.0102,-398.4,,,,Other Rural,0.0,5607870.961621545,0.0,0.0,0.0,0.0,0.0,0.0,2339.0,13549.0,37.12054794520548,0.0,,5607870.961621545,0.0,0.0958,0.0958,151072.0
190116,Morehouse General Hospital,Bastrop,MOREHOUSE,1720135.0,Small Rural,IPPS,,39.0,203.44,No,,Yes,Wave 3+,Interested,,37144.0,9520.0,40.0,,,,3.13,4.02,4.85,143.4,154.3,159.7,0.5225,0.589,0.6003,33163285.0,22716589.0,26156842.0,-0.0643,-0.6522,-0.4136,0.131,0.0299,0.0133,Gov-Hospital District,Government,365,71220,5597120.0,31562287.0,355051.0,0.332587,0.0254323499491353,0.2149881315700237,826300.0,16106066.0,20426,Rural,4,5.18,31.0,14,3.848573001022093,2,1,9.4,12444,11279,10161,9110,-0.2679,0.214,1499468.0,True,0.4269,16.3,,,0.0513,Small Rural,0.0,5793147.613024861,0.0,11617.0,0.0,0.0,0.0,0.0,921.0,3770.0,10.32876712328767,0.0,,5804764.613024861,0.0,0.2219,0.2215,560875.0
190007,Natchitoches Regional Medical Center,Natchitoches,NATCHITOCHES,1720143.0,Sole Community Hospital (SCH)/Small Rural,SCH,,81.0,448.41,No,,No,,,,,,,,,,2.07,1.97,1.39,14.4,18.4,22.3,0.7103,0.6913,0.674,81954015.0,82412551.0,101531512.0,-0.1512,-0.2185,-0.1403,0.0511,-0.0589,0.0198,Gov-Hospital District,Government,365,71457,19533541.0,69064683.0,1470041.0,0.289117,0.0202663578459756,0.2417486971627099,1599732.0,40694787.0,25485,Rural,4,23.81,19.6,15,2.96440578472704,1,1,10.4,14125,12832,11902,10869,-0.2305,0.1924,4502481.0,True,0.1601,7.9,,,0.0393,Sole Community Hopsital (SCH)/Small Rural,0.0,12710565.610894982,46691.0,50454.0,0.0,0.0,0.0,0.0,2086.0,10974.0,30.065753424657533,233.0,1.0,12761019.610894982,46691.0,0.1257,0.1252,422759.0
191304,North Caddo Memorial Hospital,VIVIAN,CADDO,1733199.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,184.92,No,,No,,,,,,,,,,5.68,3.68,4.46,199.5,114.2,55.9,0.5519,0.5122,0.5531,24662750.0,24088737.0,25384793.0,-0.1686,-0.4085,-0.3987,0.1355,0.0132,0.0988,Gov-Hospital District,Government,365,71082,3923023.0,11854375.0,1327308.0,0.659818,0.0020112630732099,0.4477071600965406,,,3774,Rural,10,2.91,24.1,16,4.132752614715207,0,2,13.1,92659,83302,75542,68201,-0.264,0.1545,1035678.0,True,0.4975,-143.6,,,,Critical Access Hospital (CAH),0.0,3069398.0878874823,20175.8,9995.0,0.0,0.0,0.0,0.0,322.0,1368.0,3.747945205479452,438.0,1.0,3079393.0878874823,20175.8,0.1213,0.1209,818955.0
190086,Northern Louisiana Medical Center,Ruston,LINCOLN,,Other Rural,RRC,,122.0,259.0,No,,No,,,,,,,,,,7.63,0.65,0.59,-1.7,-2.4,1.4,0.1786,-0.6597,-0.9491,63016738.0,56126850.0,62664050.0,-0.0476,-0.1913,-0.0818,0.0237,-0.2699,-0.0444,Proprietary-Corp,Proprietary,364,71270,6585650.0,106593285.0,1502348.0,0.164217,0.2693687816016963,0.3073723699233404,,19988760.0,32747,Rural,4,15.03,29.5,19,3.228276390124785,2,1,7.6,14566,13188,12304,11028,-0.2429,0.1051,1599654.0,False,0.0374,3.1,,,,Other Rural,0.0,6277434.741579402,414.0,0.0,0.0,0.0,0.0,0.0,2894.0,12895.0,35.32876712328767,0.0,,6277434.741579402,414.0,0.1002,0.1002,177686.0
190106,Oakdale Community Hospital,Oakdale,ALLEN,1734233.0,Small Rural,IPPS,,49.0,159.0,No,,No,,,,,,,,,,6.52,0.74,0.67,-11.0,13.3,19.3,-2.5412,-0.3421,-0.4218,21785608.0,20230612.0,22687370.0,-0.0251,-0.0755,-0.1208,0.0524,-0.071,-0.1189,Proprietary-Corp,Proprietary,365,71463,3737325.0,25975429.0,315088.0,0.271188,0.0064766839378238,0.3385146804835924,,10822756.0,9007,Rural,7,18.2,21.6,11,2.732695850513203,0,2,9.2,7971,7205,6554,6087,-0.2364,0.1647,883504.0,True,0.0019,30.3,,,,Small Rural,0.0,2168215.4143236373,25190.0,0.0,0.0,0.0,0.0,0.0,459.0,2032.0,5.567123287671233,0.0,,2168215.4143236373,25190.0,0.0956,0.0956,389468.0
191322,Ochsner Abrom Kaplan Memorial Hospital,KAPLAN,VERMILION,1720011.0,Critical Access Hospital (CAH),CAH,Voluntary non-profit - Private,25.0,115.4,No,,No,,,,,,,,,,3.49,1.57,1.29,0.0,-2.0,4.1,0.606,0.3783,0.2437,19691658.0,22351679.0,24014267.0,-0.0708,-0.0798,-0.1162,0.1129,0.1061,0.068,Nonprofit-Other,Nonprofit,364,70548,8480125.0,10765121.0,406269.0,0.578607,0.0183585313174946,0.4195464362850972,,,9077,Urban,2,2.61,17.0,4,3.4526764798433622,0,1,9.7,21104,19201,17806,16528,-0.2168,0.3531,1838491.0,True,0.1842,4.1,,,,Critical Access Hospital (CAH),0.0,4194267.2653276194,6691.0,0.0,0.0,0.0,0.0,0.0,579.0,3218.0,8.816438356164383,0.0,,4194267.2653276194,6691.0,0.1747,0.1747,475733.0
190044,Ochsner Acadia General Hospital,Crowley,ACADIA,,,IPPS,,54.0,236.7,No,,No,,,,,,,,,,1.2,0.78,1.45,0.0,0.4,0.3,0.2933,0.1786,0.4436,43531446.0,40211124.0,53325390.0,-0.0544,-0.2512,-0.0791,0.0371,-0.1013,0.1001,Nonprofit-Other,Nonprofit,364,70526,16249682.0,57477559.0,875167.0,0.211856,0.0143054335550257,0.4182457020956205,1534877.0,16847333.0,16740,Rural,4,14.279999999999998,20.3,3,3.426153899504109,0,1,11.3,24991,22771,21105,19328,-0.2266,0.3047,3682178.0,False,0.1792,0.3,,,0.0911,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
190053,Ochsner American Legion Hospital,Jennings,JEFFERSON DAVIS,1720071.0,Small Rural,IPPS,,49.0,288.79,No,,No,,,,,,,,,,4.34,12.99,0.89,133.7,110.7,21.1,0.8059,0.9355,-0.0334,47078316.0,16559279.0,48030423.0,-0.2562,-0.153,-0.544,0.1919,0.2025,-0.2237,Nonprofit-Other,Nonprofit,364,70546,15272778.0,45109485.0,1110493.0,0.408497,0.2714302698846748,0.335869694447747,,29998178.0,15821,Rural,7,0.8699999999999999,19.1,8,2.072683334882424,2,1,7.5,11371,10255,9358,8475,-0.2547,0.318,3889977.0,True,0.3203,-112.6,,,,Small Rural,0.0,7514405.760190697,2897.7,3811.0,0.0,0.0,0.0,0.0,2451.0,8288.0,22.70684931506849,0.0,,7518216.760190697,2897.7,0.1565,0.1565,330931.0
191302,Ochsner St Martin Hospital,BREAUX BRIDGE,ST MARTIN,1734730.0,Critical Access Hospital (CAH),CAH,Voluntary non-profit - Private,25.0,165.47,No,,No,,,,,,,,,,7.57,1.91,1.51,0.2,4.9,0.7,0.7433,0.4866,0.3599,26525765.0,36284036.0,44190976.0,-0.0385,0.0649,0.0992,0.055,0.1443,0.1578,Nonprofit-Other,Nonprofit,364,70517,16102058.0,30477958.0,624767.0,0.292386,0.001429706115965,0.4297061159650516,,,26570,Urban,2,0.63,18.7,6,3.041113853748843,1,1,10.5,18810,17180,15879,14531,-0.2275,0.3644,3663218.0,True,0.0586,0.5,,,,Critical Access Hospital (CAH),0.0,6745043.677504188,20523.0,8649.0,0.0,0.0,0.0,0.0,367.0,1104.0,3.024657534246576,0.0,,6753692.677504188,20523.0,0.1528,0.1526,2230019.0
190014,Ochsner St Mary,Morgan City,ST MARY,,Sole Community Hospital (SCH)/Other Rural,SCH,,105.0,,No,,No,,,,,,,,,,11.89,0.92,0.71,5.0,4.3,4.5,0.9159,-0.064,-0.3637,38641090.0,35905959.0,36229926.0,-0.0561,-0.3477,-0.2275,0.0458,-0.2804,-0.1017,Proprietary-Corp,Proprietary,364,70380,12515634.0,87572288.0,1296656.0,0.139857,0.0275249241439098,0.2739488513220632,385128.0,19859263.0,21043,Rural,4,1.33,23.8,10,4.226900680050495,0,1,12.0,21150,19082,17642,16086,-0.2394,0.3455,2996243.0,False,0.1258,-0.5,,,0.0194,Sole Community Hopsital (SCH)/Other Rural,0.0,7422181.9704178525,4748.0,34018.0,0.0,0.0,59486.0,0.0,1658.0,9125.0,25.0,0.0,,7456199.9704178525,64234.0,0.2058,0.2049,296887.0
191324,Ochsner St. Anne General Hospital,RACELAND,LAFOURCHE,1734357.0,Critical Access Hospital (CAH),CAH,Voluntary non-profit - Other,25.0,259.26,No,,No,,,,,,,,,,,,,0.4,0.4,0.3,0.9385,1.2132,1.6861,93770683.0,76471934.0,61703058.0,0.0387,-0.009,0.1077,0.0955,0.0625,0.2149,Nonprofit-Other,Nonprofit,364,70394,53127093.0,41109606.0,1797943.0,0.328318,0.0008595988538681,0.1338108882521489,,,13683,Urban,1,0.56,17.5,8,3.0065830076116025,0,1,11.2,28441,25582,23856,21824,-0.2327,0.861,12362675.0,True,0.1072,-0.1,,,,Critical Access Hospital (CAH),0.0,10840792.275486888,5973.5,2594.0,0.0,0.0,0.0,0.0,1707.0,6874.0,18.832876712328765,217.0,2.0,10843386.275486888,5973.5,0.1757,0.1757,575631.0
190017,Opelousas General Health System,Opelousas,ST LANDRY,,,RRC,,151.0,902.07,Yes,Feb 2023,Yes,Wave 1,LOI signed,20.0,91069.0,25656.0,327.0,Cerner,Yes,4.0,1.88,2.55,1.58,37.2,29.8,49.7,0.6073,0.6948,0.5904,150974733.0,168502445.0,157763671.0,-0.1806,-0.1272,-0.1827,0.0069,-0.0286,-0.0445,Gov-City-County,Government,365,70570,16249467.0,96868081.0,2985988.0,0.23186,0.0068314245529435,0.3072801553814212,5718149.0,68272902.0,37188,Rural,4,3.42,22.6,11,3.6185724320003874,1,1,9.0,40896,37306,34958,32028,-0.2168,0.103,3522884.0,False,0.1382,12.5,0.1268,61162.0,0.0838,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
190312,Our Lady of the Angels Hospital,Bogalusa,WASHINGTON,,Other Rural,IPPS,,36.0,333.92,No,,No,,,,,,,,,,0.95,0.97,2.29,13.6,1.1,106.7,0.6311,0.7032,0.4098,82004082.0,76197941.0,35277238.0,0.0695,-0.0485,-1.2474,0.133,-0.0083,-0.2311,Nonprofit-Church,Nonprofit,365,70427,11503790.0,62828062.0,2752207.0,0.365999,0.3843248347497639,0.2096317280453258,1314654.0,31628571.0,17564,Rural,4,34.0,24.9,4,3.8010282550424046,1,2,13.0,20982,19236,17726,16107,-0.2323,0.3261,2672330.0,False,1.0163,93.1,,,0.0416,Other Rural,0.0,7837143.531503819,117336.0,122368.0,0.0,0.0,5909525.0,0.0,1960.0,8597.0,23.553424657534247,0.0,,7959511.531503819,6026861.0,0.2256,0.2222,332739.0
191316,Pointe Coupee General Hospital,NEW ROADS,POINTE COUPEE,1730521.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,23.0,178.57,Yes,2020-02-01 00:00:00,No,,,,,,,EPIC-FMOL,Yes,2.0,3.51,2.27,2.85,53.0,36.1,57.1,0.86,0.8474,0.8423,15377257.0,15951136.0,19118393.0,-0.2329,-0.2086,-0.2219,0.1991,0.2019,0.1794,Gov-Hospital District,Government,364,70760,3656502.0,8215888.0,683712.0,0.573132,0.0047303689687795,0.3226111636707663,,,6119,Rural,2,13.0,20.0,11,2.2419136161146622,0,1,9.4,7238,6550,6052,5529,-0.2361,0.1913,863300.0,True,0.4013,4.1,,,,Critical Access Hospital (CAH),0.0,2478887.502283871,11999.0,466.0,0.0,0.0,0.0,0.0,81.0,341.0,0.9342465753424658,0.0,,2479353.502283871,11999.0,0.1297,0.1297,2653355.0
191326,Reeves Memorial Medical Center,BERNICE,UNION,1734853.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,15.0,66.11,Yes,March 2022,Yes,Wave 1,LOI signed,1.2,31493.0,2805.0,20.0,Azelia,Yes,8.0,3.2,10.76,37.84,429.1,354.6,1074.8,0.6562,0.849,0.3742,29455463.0,33965240.0,13564211.0,0.6177,0.6447,0.0082,0.123,0.0596,0.1165,Gov-Hospital District,Government,364,71222,2597282.0,3297297.0,693100.0,0.645435,0.0120481927710843,0.6016566265060241,,,2621,Rural,10,45.88,19.4,15,2.4799277875433514,0,1,7.8,9016,7983,7243,6529,-0.2758,0.1915,716330.0,True,0.1083,645.7,0.0885,60000.0,,Critical Access Hospital (CAH),0.0,699875.1555256183,5723.0,822.0,0.0,0.0,0.0,0.0,101.0,383.0,1.0493150684931507,0.0,,700697.1555256183,5723.0,0.0517,0.0516,666983.0
190151,Richardson Medical Center,Rayville,RICHLAND,1735370.0,Small Rural,IPPS,,38.0,175.29,Yes,2020-05-01 00:00:00,Yes,Wave 3+,Leaning to FMOL,0.9,27327.0,3169.0,14.0,CPSI,Yes,8.0,7.95,12.84,12.56,124.8,158.3,142.3,0.7699,0.8266,0.8114,22210891.0,21549992.0,24824061.0,-0.1676,-0.2251,-0.0652,0.1375,0.0597,0.0861,Gov-Hospital District,Government,364,71269,7750529.0,18732386.0,704494.0,0.40319,0.008504252126063,0.3886943471735868,415733.0,12728218.0,12475,Rural,2,38.48,25.1,7,2.2518474136209305,0,1,8.8,9154,8162,7546,6707,-0.2673,0.3122,2071716.0,True,0.1513,17.5,0.0363,64286.0,0.0327,Small Rural,0.0,4312656.891221261,14407.7,6676.0,0.0,0.0,0.0,0.0,395.0,1780.0,4.876712328767123,0.0,,4319332.891221261,14407.7,0.174,0.1737,884337.0
191323,Richland Parish Hospital-Delhi,DELHI,RICHLAND,1735299.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,160.0,Yes,2020-02-01 00:00:00,No,,,,,,,Cerner,Yes,8.0,18.13,19.63,23.87,329.8,493.8,559.7,0.957,0.9541,0.9618,22309816.0,23320766.0,23354998.0,-0.0788,-0.0412,-0.0932,0.2857,0.1947,0.1745,Gov-Hospital District,Government,364,71232,6991963.0,7027565.0,829403.0,1.0,0.0680657969370391,0.6477595008508225,,,6003,Rural,10,38.48,25.1,7,2.2518474136209305,0,2,8.8,9154,8162,7546,6707,-0.2673,0.2994,1868952.0,True,0.2677,229.9,,,,Critical Access Hospital (CAH),0.0,3461748.3160437807,12384.0,0.0,0.0,0.0,0.0,0.0,228.0,829.0,2.271232876712329,0.0,,3461748.3160437807,12384.0,0.1482,0.1482,1524171.0
191313,Riverside Medical Center - Franklinton,FRANKLINTON,WASHINGTON,1734047.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,221.35,No,,Yes,Wave 3+,Tentative,0.5,34994.0,1390.0,9.0,,,,2.68,2.47,3.07,97.0,87.1,107.8,0.6255,0.6912,0.7209,23196030.0,25329430.0,24986773.0,-0.4132,-0.3361,-0.3497,0.0482,-0.0046,0.0591,Gov-Hospital District,Government,364,70438,5756527.0,18786610.0,555115.0,0.380986,0.0007107320540156,0.4527363184079602,,,19935,Rural,10,34.0,24.9,4,3.8010282550424046,0,1,13.0,20982,19236,17726,16107,-0.2323,0.2304,1337241.0,True,0.4088,10.8,0.02,55556.0,,Critical Access Hospital (CAH),0.0,4527033.414722881,22307.0,5856.0,0.0,0.0,0.0,0.0,86.0,227.0,0.6219178082191781,0.0,,4532889.414722881,22307.0,0.1814,0.1812,7279151.0
190218,Sabine Medical Center,Many,SABINE,1760811.0,Sole Community Hospital (SCH)/Small Rural,SCH,,48.0,148.0,No,,No,,,,,,,,,,15.86,,,8.3,-24.5,-16.1,0.3744,0.3942,0.5769,21547542.0,22019927.0,29052384.0,0.0213,0.0621,0.1514,0.0399,0.0889,0.1525,Proprietary-Corp,Proprietary,365,71449,4364545.0,19963221.0,392355.0,0.405716,0.0316698656429942,0.4289827255278311,,9976967.0,8818,Rural,10,50.95,18.4,12,3.201404835877347,0,2,8.4,8587,7671,7018,6390,-0.2559,0.1502,1116887.0,True,0.0011,-24.4,,,,Sole Community Hopsital (SCH)/Small Rural,0.0,2694876.240488023,5533.0,1566.0,0.0,0.0,0.0,0.0,306.0,1042.0,2.854794520547945,0.0,,2696442.240488023,5533.0,0.0928,0.0928,943983.0
190025,Savoy Medical Center,Mamou,EVANGELINE,,Other Rural,IPPS,,28.0,85.37,Yes,July 2023,No,,,,,,,CPSI,Yes,4.0,5.08,1.67,4.14,33.8,52.1,57.4,0.807,0.4817,0.7567,26227524.0,32635261.0,43062414.0,-0.1676,-0.0135,0.0691,0.1104,0.0516,0.092,Gov-City,Government,364,70554,10875004.0,41278242.0,604980.0,0.241642,0.0197752808988764,0.5595505617977528,213996.0,9625962.0,5028,Rural,10,15.7,28.6,6,4.175042523581259,0,1,9.0,14251,12991,12043,10858,-0.2381,0.2525,2589338.0,False,0.0229,23.6,,,0.0222,Other Rural,0.0,10663473.993055424,8948.0,15926.0,0.0,0.0,0.0,0.0,1369.0,9312.0,25.51232876712329,0.0,,10679399.993055424,8948.0,0.248,0.2476,417973.0
190088,Springhill Medical Center,Springhill,WEBSTER,1767930.0,Sole Community Hospital (SCH)/Small Rural,SCH,,37.0,152.79,Yes,2021-03-01 00:00:00,Yes,Wave 3+,Tentative,5.6,35212.0,4548.0,91.0,CPSI,Yes,7.0,6.4,10.64,6.16,171.1,190.9,240.2,0.762,0.9284,0.8688,20468875.0,21604586.0,20630610.0,-0.1469,-0.111,-0.2031,0.171,0.1397,0.0731,Nonprofit-Other,Nonprofit,364,71075,9648524.0,10946483.0,949972.0,0.564418,0.0108964834076275,0.4373452204061416,1413100.0,11881644.0,5417,Rural,7,14.72,29.600000000000005,19,3.506433448491608,0,2,10.0,15060,13552,12298,11252,-0.2529,0.4677,2440112.0,True,0.2762,69.1,0.2714,61538.0,0.1189,Small Rural,0.0,2760595.7446310804,5309.2,0.0,0.0,0.0,0.0,0.0,601.0,3054.0,8.367123287671232,0.0,,2760595.7446310804,5309.2,0.1338,0.1338,329934.0
