fy,ccn,hcris_name,hcris_city,hcris_class,fy_days,fy_end,control,npr,other_income,total_assets,fund_bal,cash,opex,days_cash,pt_svc_margin,total_margin,other_income_pct_npr,equity_ratio,current_ratio,hospital,ccn_use,medicare_class_chqpr,lihnc_member,in_epic_pipeline,epic_wave,parish,stratum
2022,190118,DESOTO REGIONAL HEALTH SYSTEM,Mansfield,STH,364,09/30/2022,Nonprofit-Other,26172571.0,4168863.0,31156503.0,27061922.0,13987724.0,28661132.0,185.8,-0.0951,0.0554,0.1593,0.8686,6.05,Desoto Regional Health System,190118,SCH,No,Yes,Wave 3+,DESOTO,Nonprofit
2022,190151,RICHLAND PARISH HOSPITAL SERVICE DIS,Rayville,STH,364,09/30/2022,Gov-Hospital District,21549992.0,6527317.0,20876639.0,17257582.0,11266239.0,26399877.0,158.3,-0.2251,0.0597,0.3029,0.8266,12.84,Richardson Medical Center,190151,IPPS,Yes,Yes,Wave 3+,RICHLAND,Government
2022,191317,JACKSON PARISH HOSPITAL,Jonesboro,CAH,364,09/30/2022,Gov-Hospital District,20783910.0,9702399.0,30114437.0,27644925.0,17352614.0,25687292.0,256.2,-0.2359,0.1574,0.4668,0.918,9.43,Jackson Parish Hospital,191317,CAH,No,Yes,Wave 3+,JACKSON,Government
2022,191315,HARDTNER MEDICAL CENTER,Olla,CAH,364,09/30/2022,Gov-Hospital District,31649093.0,13764220.0,43819750.0,30973090.0,1930007.0,42771806.0,17.1,-0.3514,0.0478,0.4349,0.7068,3.41,Hardtner Medical Center,191315,CAH,No,No,,LASALLE,Government
2022,190054,IBERIA MEDICAL CENTER,New Iberia,STH,364,09/30/2022,Gov-Hospital District,106960667.0,9199703.0,128546681.0,82339877.0,24989028.0,105573320.0,90.4,0.013,0.05,0.086,0.6405,2.75,Iberia Medical Center,190054,IPPS,Yes,Yes,Wave 1,IBERIA,Government
2022,191309,HOOD MEMORIAL HOSPITAL,Amite,CAH,364,09/30/2022,Gov-Hospital District,17482312.0,18709337.0,32994550.0,30884575.0,18258670.0,20173470.0,338.6,-0.1539,0.4426,1.0702,0.9361,13.85,Hood Memorial Hospital,191309,CAH,Yes,Yes,Wave 2,TANGIPAHOA,Government
2022,190145,LASALLE GENERAL HOSPITAL  INC.,Jena,STH,364,09/30/2022,Gov-Hospital District,19769375.0,6045719.0,23816728.0,9478963.0,1264761.0,26579684.0,18.3,-0.3445,-0.0342,0.3058,0.398,1.67,Lasalle General Hospital,190145,IPPS,No,No,,LASALLE,Government
2022,191306,WEST FELICIANA PARISH HOSPITAL,St. Francisville,CAH,364,10/31/2022,Gov-Other,25166526.0,8526323.0,66024237.0,40603016.0,13386090.0,30525345.0,177.6,-0.2129,0.094,0.3388,0.615,14.23,West Feliciana Parish Hospital,191306,CAH,Yes,Yes,Wave 2,WEST FELICIANA,Government
2022,191316,POINTE COUPEE GENERAL HOSPITAL,New Roads,CAH,364,10/31/2022,Gov-Hospital District,15951136.0,10798674.0,57270045.0,48530855.0,1827522.0,19278654.0,36.1,-0.2086,0.2019,0.677,0.8474,2.27,Pointe Coupee General Hospital,191316,CAH,Yes,No,,POINTE COUPEE,Government
2022,190044,ACADIA GENERAL HOSPITAL,Crowley,STH,364,09/30/2022,Nonprofit-Other,40211124.0,5474377.0,21542253.0,3848402.0,48616.0,50312266.0,0.4,-0.2512,-0.1013,0.1361,0.1786,0.78,Ochsner Acadia General Hospital,190044,IPPS,No,No,,ACADIA,Nonprofit
2022,190167,MERCY REGIONAL MEDICAL CENTER,Ville Platte,STH,364,09/30/2022,Proprietary-Corp,28300414.0,4960627.0,3946799.0,-2090246.0,-18216913.0,37204834.0,-180.2,-0.3146,-0.1186,0.1753,-0.5296,,Mercy Regional Medical Center,190167,IPPS,No,No,,EVANGELINE,Proprietary
2022,191302,ST MARTIN HOSPITAL,Breaux Bridge,CAH,364,09/30/2022,Nonprofit-Other,36284036.0,3369169.0,84766243.0,41244318.0,442359.0,33928875.0,4.9,0.0649,0.1443,0.0929,0.4866,1.91,Ochsner St Martin Hospital,191302,CAH,No,No,,ST MARTIN,Nonprofit
2022,191322,OCHSNER - ABROM KAPLAN MH,Kaplan,CAH,364,09/30/2022,Nonprofit-Other,22351679.0,4648801.0,46743275.0,17684872.0,-131689.0,24135200.0,-2.0,-0.0798,0.1061,0.208,0.3783,1.57,Ochsner Abrom Kaplan Memorial Hospital,191322,CAH,No,No,,VERMILION,Nonprofit
2022,190053,OCHSNER AMERICAN LEGION HOSPITAL,Jennings,STH,243,11/30/2022,Nonprofit-Other,32474878.0,20823779.0,49955823.0,9378541.0,2344858.0,42227387.0,13.5,-0.3003,0.176,0.6412,0.1877,1.5,Ochsner American Legion Hospital,190053,IPPS,No,No,,JEFFERSON DAVIS,Nonprofit
